kingdom,phylum,class,order,Agde_port_1,Agde_port_2,Cannes_Biohut,Cannes_Port_1,Cannes_Port_2,La_Ciotat_Port_1,La_Ciotat_Port_2,Marseillan_Port_1,Marseillan_Port_2,Marseillan_Biohut,Porquerolles_Port_1,Port_Vendre_Port_1,SMM_Biohut,SMM_Port_1 ,SMM_Port_2 
kingdom,phylum,class,order,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213523,SPY213518,SPY213521,SPY213522
Metazoa,Mollusca,Gastropoda,-,,50,11,,34,49,84,495,369,111,,,109,152,21
Metazoa,Mollusca,Gastropoda,Acochlidiacea,,,,,,45,,,,,,,36,,
Metazoa,Mollusca,Gastropoda,Cephalaspidea,17,11,24,,,,,15,18,34,11,,,26,
Metazoa,Mollusca,Gastropoda,Pteropoda,,,,,,88,36,,,,,,,,
Metazoa,Mollusca,Gastropoda,Trochida,,,,,,19,31,27,25,42,,,,,
Metazoa,Mollusca,Gastropoda,Umbraculida,24,20,63,52,60,125,56,,,,,,63,31,15
Metazoa,Mollusca,Polyplacophora,Chitonida,,,,,,1033,107,,,,,,,,
Metazoa,Nematoda,Chromadorea,Chromadorida,,,,,,25,,,,,,,,,
Metazoa,Nematoda,Enoplea,Enoplida,,,,,,,,,14,,,,,,
Metazoa,Nemertea,Enopla,-,,,92,38,19,58,28,22,,32,132,355,,13,
Metazoa,Nemertea,Enopla,Monostilifera,,13,402,18,25,,,73,349,131,23,28,69,,
Metazoa,Nemertea,Palaeonemertea,-,,,,20,,11,,,17,,,,,,
Metazoa,Nemertea,Pilidiophora,Heteronemertea,,,,,,,,51,52,18,,23,,,
Metazoa,Platyhelminthes,Monogenea,Dactylogyridea,,,,,,,,18,,,,,,,
Metazoa,Platyhelminthes,Rhabditophora,-,,,,,,,,,,,,,,20,
Metazoa,Platyhelminthes,Rhabditophora,Macrostomida,,,,,,,16,,17,,,,,,21
Metazoa,Platyhelminthes,Rhabditophora,Polycladida,1568,460,115,736,75,,,15,,,,,75,89,32
Metazoa,Platyhelminthes,Rhabditophora,Prolecithophora,,,,,,,,,,,,,,12,
Metazoa,Platyhelminthes,Rhabditophora,Proseriata,,,14,,,,,,,,,,,,
Metazoa,Platyhelminthes,Rhabditophora,Rhabdocoela,,,,,,,,,43,,,,,,
Metazoa,Platyhelminthes,Trematoda,Opisthorchiida,,,,,,121,,,,,,,,,
Metazoa,Porifera,Calcarea,-,,,,,,27,12,,,,,,,,
Metazoa,Porifera,Calcarea,Clathrinida,11,,,,,,,,,,,,,,
Metazoa,Porifera,Calcarea,Lithonida,25,16,18,,,37,29,28,24,,25,15,,,
Metazoa,Porifera,Demospongiae,-,24,16,231,,,138,91,69,43,38,58,,24,11,
Metazoa,Porifera,Demospongiae,Axinellida,,,,,,11,15,,,,,,,,
Metazoa,Porifera,Demospongiae,Bubarida,,,,,,,,27,17,,,,,,
