"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Spondyliosoma_cantharus",0,0,0,0,60,0,54,0,0,0,0,0,0,72,218,42,0,41,0,0,0,0,0,0,167,493,0,0,0,0,98
"Mullus_barbatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,974,0,682,0,0,0,0,0,0,0
"Mullus_surmuletus",0,634,0,0,264,220,249,329,222,505,948,0,0,0,0,0,0,0,0,0,115,242,73,74,61,69,0,351,0,38,108
"Syngnathus_acus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syngnathus_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,165,0,0,0,0,0,0,0,0,0,0,0,0
"Balistes_capriscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,35,0,0,0
"Mola_mola",0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,137,0,0,0,0,0
"Uranoscopus_scaber",0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zeus_faber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,47,0,0,0,0,0,0,0
"Dicentrarchus_labrax",0,65,0,0,0,0,0,752,0,12,22,0,0,0,0,0,0,0,0,0,246,11,0,0,0,0,0,285,976,0,281
"Chromis_chromis",0,0,0,0,0,0,0,0,0,369,673,304,0,0,0,0,0,0,414,0,313,162,0,37,622,317,0,0,0,0,0
"Argyrosomus_regius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"Sciaena_umbra",0,0,0,0,0,0,159,0,0,12,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0
"Sphyraena_sphyraena",0,0,0,0,0,0,0,0,0,0,0,0,231,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"Sphyraena_viridensis",0,0,0,0,57,43,0,0,0,12,18,0,0,0,0,0,0,0,20,0,0,68,0,0,0,13,0,0,0,0,0
"Mustelus_mustelus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,77,0,0
"Hexanchus_griseus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,146,0,0,0,0,0,0,0,0,0
"Raja_undulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
"Raja_asterias_Raja_clavata",920,102,0,0,0,0,0,178,0,0,0,0,0,0,0,0,107,63,0,0,30,0,55,16,0,0,19,42,0,0,0
"Tetronarce_nobiliana",0,178,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0
"Torpedo_marmorata",496,646,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,542,0,0,0,0
"Engraulis_encrasicolus",0,556,0,0,402,0,765,856,0,206,346,237,0,766,702,54,0,0,883,0,0,88,171,15,527,0,0,759,623,47,178
