"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Elasmobranchii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,30,0,0,0,0,0,50,70,0,0,36,278,169,236,64
"Galeoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"Axinella sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,110,360,0,37,0,0,0,0,0,0,0,0,0,0,0
"Callyspongia plicifera",0,0,0,15,0,282,0,130,0,21,54,56,0,0,0,0,0,237,0,143,0,0,18,0,15,0,122,53,33,41,75
"Callyspongia sp.",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amphimedon sp.",0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,16,114,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplosclerida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,57,73
"Phorbas areolatus",0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phorbas sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halichondriidae",31,0,0,0,0,0,0,0,0,14,0,0,25,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suberitida",0,0,0,0,0,0,0,0,25,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astrophorina",0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heteroscleromorpha",0,0,252,19,0,66,0,0,0,12,0,32,0,0,0,69,358,453,0,0,0,0,0,13,0,12,0,0,0,0,17
"Arbacia sp.",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0,0,0,0,0
